Aircraft,Range_NauticalMiles,Range_km,Fuel_Consumption_kg/hr,Cruising Speed (kts),Speed_kmh,MaxFlightTime_hr,Max_Fuel_Capacity_kg
Airbus A320,3300,6111.6,2430,468,829,7.05,21760
Airbus A321-100,3000,5556,2885,493,913.04,6.09,17569.65
Airbus A321-200,3200,5926.4,2740,493,913.04,6.49,17782.6
Airbus A330-200,7250,13427,5590,490,907.48,14.8,82732
Airbus A330-300,6350,11760.2,5700,490,907.48,12.96,73872
Airbus A340-300,7300,13519.6,6500,488,903.78,14.96,97240
Airbus A340-500,9000,16668,8000,488,903.78,18.44,147520
Airbus A350-900,8100,15732,5800,470,903,17.23,165000
Airbus A380-800,8000,14816,12280,470,903,17.35,256000
Boeing 737-800,2935,5435.62,2530,455,842.66,6.45,16318.5
Boeing 747-400,7260,13445.52,10230,488,903.78,14.88,152222.4
Boeing 747-8,7730,14315.96,9600,470,870.44,16.45,157920
Boeing 757-200,3915,7250.58,3320,470,870.44,8.33,27655.6
Boeing 767-200,3900,7222.8,4500,470,870.44,8.3,37350
Boeing 767-300,4020,7445.04,4800,470,870.44,8.55,41040
Boeing 767-300ER,5980,11074.96,4940,490,907.48,12.2,60268
Boeing 777-200,5240,9704.48,6080,490,907.48,10.69,136936
Boeing 777-200ER,7725,14306.7,6630,470,870.44,16.44,136936
Boeing 777-200LR,8555,15843.86,6800,488,903.78,17.53,145024
Boeing 777-300ER,7370,13649.24,7700,447,827.84,16.49,145024
Boeing 787-8,7355,13621.46,4900,447,903,16.45,101343
Boeing 787-9,7530,13945.56,5600,447,903,17.45,101522
